DESTINATION,NAME,DESCRIPTION,LOCATION (Google Maps Link),SM/REFERENCE LINKS,Type,tags,Category,price_level,Area
Riyadh ,La Brasserie,All-day buffet restaurant offering global cuisine in a luxurious setting at MO.,https://maps.app.goo.gl/f8UMv5PiYqagqMhh8,https://www.instagram.com/labrasserieruh/?hl=ar,Restaurant and Cafe,"international, family-friendly, luxury, hotel-dining",Buffet,Expensive,"King Fahd Rd, Al Olaya, Riyadh"
Riyadh ,La Petite Maison Riyadh,French Mediterranean cuisine with elegance and fine service in Al Olaya.,https://maps.app.goo.gl/VcGowhuE3Rhyt9aM9,https://www.instagram.com/lpmriyadh,Restaurant,"fine-dining, upscale, elegant, quiet",French,Expensive,"Al Motassem Street, Al Olaya, Riyadh "
Riyadh ,Long Chim,Michelin-star Thai street food concept blending tradition and modern style.,https://maps.app.goo.gl/byUb4RmxpW6U1szN7,https://www.instagram.com/longchimksa/,Restaurant,"asian, gruops, lively",Thai,Expensive,"Ad Diriyah, Riyadh "
Riyadh ,MAMO Michelangelo,Southern French and Italian fusion in a refined atmosphere.,https://maps.app.goo.gl/9gbRPBeLPfP6nhdP7,https://www.instagram.com/mamomichelangeloksa/?hl=en,Restaurant and Cafe,"quiet, late-night, cosy, trendy",Italian,Expensive,"King Fahd Rd, Al Olaya, Riyadh "
Riyadh ,Meez The House,Modern Middle Eastern eatery with homegrown ingredients and cozy vibes.,https://maps.app.goo.gl/eZcEpcCbfns9qTdn9,https://www.instagram.com/meezstreet/?hl=en,Restaurant,"family-friendly, middel-eastern, cozy, casual","Saudi,Arabic",Mid-range,"Hittin, Riyadh"
Riyadh ,Memos,"Neapolitan-style pizzas served in a chic, wood-accented space with lively energy.",https://maps.app.goo.gl/i71NdE7eFxTB3QLu7,https://www.instagram.com/memos.ksa?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,Restaurant and Cafe,"pizza, neapolitan, casual, family-friendly",Italian,Mid-range,"Al Arjun, Riyadh"
Riyadh ,Mr. Chow,Classic Beijing-style Chinese with elegant service and a glamorous ambiance.,https://maps.app.goo.gl/ouVc9H19fFWN4YNw6,https://www.instagram.com/mrchowriyadh/?hl=en,Restaurant,"fine-dining, lobster, chicken, duck, upscale",Chinese,Expensive,"Metro Blvd, Al Aqiq, Riyadh"
Riyadh ,Nakhati Gelato,Local artisanal gelato brand known for handcrafted regional flavors.,https://maps.app.goo.gl/AZ2AfxvPqsrWFD7q6,https://www.instagram.com/nakhati.ksa/?hl=en,Cafe,"gelato, ice-cream, desseert, coffee, cozy, casual",Cafe,Cheap,"King Faisal Rd، Bujairi Terrace, Riyadh "
Riyadh ,Namq,24-hour café with a stylish interior serving specialty coffee and fresh desserts.,"https://www.google.com/maps/place/Namq+cafe/@24.8076603,46.465346,25297m/data=!3m1!1e3!4m10!1m2!2m1!1sNamq!3m6!1s0x3e2ee52e9c6656bb:0x649539b72bb6761b!8m2!3d24.8076603!4d46.6177813!15sCgROYW1xWgYiBG5hbXGSAQtjb2ZmZWVfc2hvcOABAA!16s%2Fg%2F11ll7q7078!5m1!1e1?entry=ttu&g_ep=EgoyMDI1MDEyMC4wIKXMDSoASAFQAw%3D%3D",https://www.instagram.com/namq_cafe/,Cafe,"coffee, dessert, cozy, trendy, groups",Cafe,Cheap,"Anas Ibn Malik Rd, Al Malqa, Riyadh "
Riyadh ,Nashville’s,Authentic Nashville hot chicken with fiery sauces and American diner vibe.,https://maps.app.goo.gl/8rG1TCvF43X13TLPA,https://www.instagram.com/nashvilles.sa?igsh=MWdyYTVwaHdpb2lsdg%3D%3D,Restaurant,"hot-chicken, fried-chicken, casual, busy, groups",American,Cheap,Salah Ad Din Al Ayyub Riyadh 
Riyadh ,Noho Deli,New York style sandwiches and in-house cooked meats in a colorful deli setting.,"https://www.google.com/maps/place/Noho+Deli/@24.7798478,46.6136974,791m/data=!3m2!1e3!4b1!4m6!3m5!1s0x3e2ee30042cbfc2b:0xaf9a0dd2bf230da!8m2!3d24.7798478!4d46.6162723!16s%2Fg%2F11vm4nb79b!5m1!1e1?entry=ttu&g_ep=EgoyMDI1MDEyMC4wIKXMDSoASAFQAw%3D%3D",https://www.instagram.com/nohodeli/,Restaurant,"sandwiches,groups, busy,lunch,dinner,groups",American,Cheap,"Prince Turki Ibn Abdulaziz Al Awwal Rd, Al Aqiq, Riyadh "
Riyadh ,Porterhouse,Upscale Saudi steakhouse with lively ambiance and top-quality meats.,https://maps.app.goo.gl/SipNh81rWTpceE3c9,https://www.instagram.com/porterhouse_ksa?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,Restaurant,"steakhouse,premium-steak, grill, cozy, quiet, trendy, lunch, dinner",American,Expensive,"Prince Muhammad Ibn Abd Al Aziz, Al Olaya, Riyadh "
Riyadh ,Pronto,"Quick, healthy Italian meals served in a cozy setting with calorie-conscious options.",https://maps.app.goo.gl/4ZXAJ7jVP3u7rW1r6,https://www.instagram.com/pronto.saa/?hl=en,Restaurant,"pasta,casual, lively, cozy, groups",Italian,Cheap,"Al Takhassousi, Al Mohammadiyyah, Riyadh "
Riyadh ,ROKA,Contemporary Japanese robatayaki with sleek design and flavorful grilled dishes.,https://maps.app.goo.gl/mKjgmWkPxUvF8SBM8,https://www.instagram.com/rokarestaurant.ksa/,Restaurant,"fine-dining, sushi, lively, busy",Japanese,Expensive," Prince Muhammad Ibn Abd Al Aziz, As Sulimaniyah, Riyadh"
Riyadh ,RUHI Indian Cuisine,Southern Indian flavors with a fine-dining twist in a magical setting.,"https://www.google.com/maps/place/RUHI+Indian+Cuisine/@24.7110425,46.6730548,3165m/data=!3m1!1e3!4m10!1m2!2m1!1sRUHI+Indian+Cuisine!3m6!1s0x3e2f036a4ef05c71:0xfce186680a7e9cd6!8m2!3d24.7111837!4d46.673401!15sChNSVUhJIEluZGlhbiBDdWlzaW5lWhUiE3J1aGkgaW5kaWFuIGN1aXNpbmWSARFpbmRpYW5fcmVzdGF1cmFudOABAA!16s%2Fg%2F11wntxnstp?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D",https://ruhi.com.sa/,Restaurant,"quiet, cozy, dinner, lunch,groups",Indian,Mid-range,"Kingdom Centre, Olaya St, Al Olaya, Riyadh "
Riyadh ,Rüya,Anatolian cuisine in a stylish space showcasing bold Turkish flavors.,https://maps.app.goo.gl/ZccansjT2G9ANGeZ9,https://www.instagram.com/ruya_riyadh,Restaurant,"brunch, lunch, dinner, upmarket, quiet",Turkish,Expensive,"Prince Muhammad Ibn Abd Al Aziz, As Sulimaniyah, Riyadh "
Riyadh ,Sadelle’s,"New York brunch spot with bagels, French toast, and a festive atmosphere.",https://maps.app.goo.gl/zqY3xuWgSARSqRAD9,https://www.instagram.com/sadellesriyadh/?hl=en,Restaurant and Cafe,"brunch,breakfast, bagels, bakery, quiet, cozy","American,Italian",Expensive,"Prince Mohammed Ibn Salman Ibn Abdulaziz Rd, Ar Rabi, Riyadh "
Riyadh ,SCRMY,"Chic café offering artisan coffee, baked goods, and light breakfast bites.","https://www.google.com/maps/place/SCRMY/@24.7787862,46.6144066,791m/data=!3m2!1e3!4b1!4m6!3m5!1s0x3e2ee334b3ced5c9:0xc4e692bd4b2ff480!8m2!3d24.7787862!4d46.6169815!16s%2Fg%2F11sct5f2yk!5m1!1e1?entry=ttu&g_ep=EgoyMDI1MDIwNS4xIKXMDSoJLDEwMjExMjMzSAFQAw%3D%3D",https://www.instagram.com/scrmy.sa/,Cafe,"breakfast, coffee, quiet",Cafe,Cheap," Prince Muhammad Ibn Saad Ibn Abdulaziz Rd, Al Aqiq, Riyadh"
Riyadh ,Sculpture Café,Minimalist specialty coffee shop awarded Best café Riyadh 2024.,https://maps.app.goo.gl/Cs6potjbhN7kBJo19,https://www.instagram.com/sculpture.sa?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,Cafe,"breakfast, brunch, dessert, quiet, casual, cozy",Cafe,Cheap," Al Bahr Al Moutaousset, Al Aqiq, Riyadh "
Riyadh ,Section-B,Craft burger joint with bold customization in an industrial urban setting.,https://maps.app.goo.gl/TQgrRJMxo6c92Ut37,https://www.instagram.com/sectionb_sa,Restaurant,"burgers, lunch, dinner, busy, casual, groups",American,Mid-range," Turki Alawwal St., Riyadh"
Riyadh ,Shababïk,Middle Eastern fusion dishes served in a modern yet cozy environment.,https://maps.app.goo.gl/6RLShP7gr9KBbYRc6,https://www.instagram.com/shababikksa/?hl=en,Restaurant,"middel-eastren, modern, cozy, family-friendly, quiet",Lebannese,Mid-range,"Prince Abdulaziz Ibn Musaid Ibn Jalawi St, As Sulimaniyah, Riyadh"
Riyadh ,Sign,"A popular burger restaurant in Riyadh serving fresh beef and chicken burgers, crispy fries, and signature sauces in a modern casual setting.",https://maps.app.goo.gl/PF832JwgSmMXjqrX8,https://www.instagram.com/signsa_/?hl=en,Restaurant,"burgers, fries, busy, groups,ice-cream, trendy, family-friendly",American,Cheap,"Anas Ibn Malik Rd, Alyasmin, Riyadh "
Riyadh ,Smokey Beards Q,Smoked meat BBQ with hearty portions and a rustic Southern ambiance.,https://maps.app.goo.gl/2g3HWgkQ4YUhX5jF8,https://www.instagram.com/smokeybeardsq?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,Restaurant,"burgers, lunch, dinner, busy, casual, groups",BBQ,Mid-range,"Prince Muhammad Ibn Saad Ibn Abdulaziz Rd, Hittin, Riyadh "
Riyadh ,Sociale Café,Modern café offering specialty coffee and small bites in a relaxed space.,https://maps.app.goo.gl/XPXVXahRT631r2Bt8,https://www.instagram.com/sociale.cafe/?hl=en,Restaurant and Cafe,"coffee, relaxed, busy, breakfast, lunch, casual","American,French",Cheap,"Prince Muhammad Ibn Abd Al Aziz, As Sulimaniyah, Riyadh "
Riyadh ,Sukkly,"Dessert café known for waffles, crepes, and creative sweet presentations.",https://maps.app.goo.gl/9Rj3N8EVpKXqU1wL6,https://www.instagram.com/sukkly_sa?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,Cafe,"ice-cream, quiet, groups, cozy, family-friendly",Cafe,Cheap,"Back Yard by RJ7, King Abdul Aziz Branch Rd, Alyasmin, Riyadh "
