DESTINATION,NAME,DESCRIPTION,SM/REFERENCE LINKS,LOCATION (Google Maps Link),Type,Tags,Area
Riyadh,Bujairi Terrace,"Bujairi Terrace in Diriyah offers over 20 world-class dining options, cultural events, and views of UNESCO World Heritage site At-Turaif.",https://www.instagram.com/bujairiterrace/,https://maps.app.goo.gl/T42BxhSPM83Th5Zz7,tourist place,"restaurants, cafes, coffee, dining, heritage, outdoor, view","Al Bujairi, Diriyah"
Riyadh,KAFD,"King Abdullah Financial District (KAFD) boasts modern architecture, green spaces, and advanced urban infrastructure.",https://www.instagram.com/kafd/,https://maps.app.goo.gl/DZ8ztAxkD2QENGKE7,landmark,"modern, architecture, skyline, business district","King Fahd Rd, Al Aqeeq, Riyadh"
Riyadh,Naila Art Gallery,"Naila Gallery, founded in 2012 by Mrs. Naifa AlFayez, is Riyadh's leading art venue, hosting artworks from over 400 artists.",https://gallerynaila.com/,https://maps.app.goo.gl/NTikK17DkLaS9i2r8,art,"art, gallery, exhibitions, culture","Al Takhassousi St, North Mathar, Riyadh"
Riyadh,Al Ajlan Art Gallery,"Al Ajlan Gallery, founded by Mohammed Al Ajlan in 2018, exhibits his unique art blending Islamic heritage, poetry, and symbolism.",https://alajlangallery.com/,https://maps.app.goo.gl/y22eUCLFjPUEicbS9,art,"art, gallery, exhibitions","Prince Mohammed bin Saad bin Abdulaziz Rd, Al Malqa, Riyadh"
Riyadh,Abstract Art Gallery,The Abstract Art Gallery showcases local art pioneers and celebrates cultural and popular legacies.,https://www.instagram.com/abstract.arts.gallery?igsh=Y3BvdDd6OGt1ampu,https://maps.app.goo.gl/GrLeoSYm3vSvDhKq9,art,"art, gallery, contemporary, exhibitions","Al Nakheel, Riyadh"
Riyadh,King Khaled Royal Reserve (Urmah),"The King Khaled Royal Reserve is an 11,300-square-km wildlife sanctuary, home to endangered species and diverse ecosystems.",https://yallahike.sa/en/dnNPbo,https://maps.app.goo.gl/nkUMQhUG4QVbn4EZ9,tourist place,"nature, reserve, wildlife, outdoor","Al Thumamah, Riyadh"
Riyadh,The Zone,"The Zone is a luxury outdoor lifestyle complex with upscale retail, exquisite dining, and vibrant city life.",https://www.instagram.com/thezone_sa/,https://maps.app.goo.gl/HM89KvTqm2jbzU7TA,tourist place,"restaurants, cafes, dining","Takhassusi St, Al Muhammadiyah, Riyadh"
Riyadh,Boulevard City,"Boulevard City offers shopping, dining, and entertainment year-round, with activities like go-kart racing, skiing, and performances.",https://www.instagram.com/blvdruhcity/,https://maps.app.goo.gl/fZUaD8xn1TkVJB2y8,tourist place,"family, entertainment, events, attractions, restaurants, cafes","Prince Turki al-Awwal Rd, Hittin, Riyadh"
Riyadh,King Fahad National Library,"The King Fahad National Library was created as a tribute to King Salman, evolving from a public to a national library with citizen support.",https://kfnl.gov.sa/ar/Pages/default.aspx,https://maps.app.goo.gl/nH78YjTn2VBFdebr5,library,"library, books, study, reading, quiet","King Fahd Rd, Al Olaya, Riyadh"
Riyadh,Laysen Valley,"Laysen Valley, part of Saudi Arabia's Vision 2030, aims to enhance quality of life, trade, and economic growth in Riyadh.",https://www.laysenvalley.sa/,https://maps.app.goo.gl/NCtnPbXUJxqpJE638,tourist place,"restaurants, cafes,outdoor","Ibn Shoaib Al Faasi St, West Umm Al Hamam, Riyadh"
Riyadh,Roshn Front,"Roshn Front is a stylish mall features a water fountain, shops, fine dining and an outdoor movie theater.",https://roshnfront.sa/,https://maps.app.goo.gl/VDSnUD3sqHrto6Be6,tourist place,"restaurants, cafes, shopping","Sedra, Riyadh"
Riyadh,King Abdulaziz Equestrian Field,"King Abdulaziz Equestrian Field is a great place for horse racing fans, featuring beautiful Arabian horses and exciting events for all ages.",https://www.frusiya.com/,https://maps.app.goo.gl/5xkkpP1EDKM8wrpQ9,activity,"horses, sports, racing, equestrian","Al Janadriyah Rd, Al Janadriyah, Riyadh"
Riyadh,Imam Turki Bin Abdullah Grand Mosque,Imam Turki Bin Abdullah Grand Mosque is a historic site with peaceful prayer spaces and beautiful traditional Islamic architecture in Riyadh’s center.,https://www.rcrc.gov.sa/en/projects/mosques,https://maps.app.goo.gl/U6i3MfG7Pd6KSGpk6,mosque,"mosque, islamic architecture, prayer","Ad Dirah, Riyadh"
Riyadh,KAFD Grand Mosque,"The KAFD Grand Mosque, inspired by the desert rose, features a triangular design blending modern and Islamic architecture for a unique experience.",https://www.kafd.sa/en/live/landmarks,https://maps.app.goo.gl/YPcRtG2cXQMtS8d3A,mosque,"mosque, modern architecture, prayer
","King Abdullah Financial District, Al Aqeeq, Riyadh"
Riyadh,KAPSARC Mosque,"The KAPSARC Mosque combines modern design with Islamic traditions, offering a calm and inspiring space for prayer and reflection in Riyadh.",https://www.kapsarc.org/,https://maps.app.goo.gl/tmZetevX2EXYryYe8,mosque,"mosque, architecture, prayer
","Airport Rd, Riyadh"
Riyadh,Saqr Al-Jazira Aviation Museum,"Saqr Al-Jazira Aviation Museum showcases Saudi Arabia's aviation history with iconic planes and exhibits, perfect for aviation fans and families alike.",https://www.mod.gov.sa/en/Services/SaqrAlJazira/Pages/default.aspx,https://maps.app.goo.gl/221PkUG3KBsRCt7f7,museum,"museum, aviation, history","East Ring Rd, King Abdullah, Riyadh"
Riyadh,King Abdullah Park,"King Abdullah Park is a beautiful green space with walking paths, fountains, and lakes, ideal for family outings and relaxation.",https://x.com/mn_abdallh,https://maps.app.goo.gl/5nX4cFEr5phVphbz9,park,"park, green space, family, picnic","Al Ameen Abdullah Al Ali Al Naeem St, Al Malaz, Riyadh"
Riyadh,Dirab Park,"Dirab Park features Saudi Arabia’s first FIA-approved drag strip and scenic landscapes, ideal for motorsport fans and nature lovers.",https://www.instagram.com/dirabpark/?hl=en,https://maps.app.goo.gl/6kiokzLngxyvU2QY6,park,"park, nature, outdoor, family","Jabal Ajyad Rd, Dahiat Namar, Riyadh"
Riyadh,Al Samhaniya,"Explore Diriyah’s renovated streets with traditional homes, murals, cafes, and boutiques, including Bonjour Saudi’s design house, for unique finds.",https://www.instagram.com/bonjoursaudi?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,https://maps.app.goo.gl/zQUizZ7QMveg4fqi8,tourist place,"heritage, traditional, culture","Samhan, Diriyah"
Riyadh,Central Library of Princess Nourah,"The Central Library at Princess Noura University is a modern, spacious study and learning hub under a futuristic glass dome.",https://pnu.edu.sa/en/Pages/Home.aspx,https://maps.app.goo.gl/KVzP2U7WRQfz9F8M7,library,"library, books, study, university, quiet","Airport Rd, Riyadh"
Riyadh,Museum of Bygone Years,"Visit the museum that showcases Saudi Arabia’s cultural evolution through exhibits highlighting its rich history, traditions, and heritage.",https://www.instagram.com/m_otpy/?igshid=1orx0ky8qf3xo,https://maps.app.goo.gl/5EvNj1twB9xoRGfr8,museum,"museum, heritage, history","At-Turaif, Diriyah"
Riyadh,Al-Hamdan Heritage Museum,Al Hamdan Heritage Museum takes you through Riyadh’s history with traditional artifacts reflecting the region’s traditions and cultural lifestyle.,https://www.instagram.com/alhamdan_museum/?igsh=MTVhNXJlbTdnMDA2,https://maps.app.goo.gl/HHmWXWjHPZNUHz8MA,museum,"museum, heritage, culture","At Tarfawi, Al Khaleej, Riyadh"
Riyadh,Al-Subaie Palace,"Al-Subaie Heritage House, located in Shaqra, is a historic museum showcasing traditional Najdi architecture and offering insights into the region's history.",https://www.visitsaudi.com/en/riyadh/attractions/al-subaie-palace,https://www.google.com/maps/place/Subaie+heritage+house/data=!4m2!3m1!19sChIJ-VEoR_JoKj4RVHs4ykxKv1c,museum,"heritage, palace, history","Shaqra, Riyadh Region"
Riyadh,Al Safat Square (Justice Square),The square contains a big open market area and a few surrounding coffee shops. Many national celebrations are held in this square.,https://saudipedia.com/en/article/2702/history/landmarks-and-monuments/al-safat-square,https://maps.app.goo.gl/eQeTMPtQj6yUMZgv7,landmark,"heritage, landmark, history","Al Thumairi St, Ad Dirah, Riyadh"
Riyadh,Kingdom Center Sky Bridge,"Kingdom Center Sky Bridge is a 300m-high observation deck in Riyadh, offering panoramic city views. Accessible via a high-speed elevator, it's a top tourist attraction open daily.",No SM/REFERENCE LINKS,https://maps.app.goo.gl/fmcTEgmQKFuodo4fA,landmark,"tower, landmark, skyline, city view, viewpoint","Olaya St, Al Olaya, Riyadh"
Riyadh,Al Nassr Football Club,"Al Nassr Football Club is a legendary Saudi team with a rich history, passionate fan base, and thrilling matches that fans can enjoy.",https://www.instagram.com/AlNassr/,https://maps.app.goo.gl/px8r1zXJ2XEhbBeJ8,activity,"football, sports, stadium, matches","Al Halilah St, Tuwaiq, Riyadh"
Riyadh,Diriyah Art Futures,DAF is the first-ever new media art gallery in the region and is known for celebrating modern art in traditional settings. It is also a learning hub for those interested in new media,https://www.instagram.com/dafmoc/?hl=en,https://maps.app.goo.gl/eZv8nGug95wfMSUP8,art,"art, exhibitions, culture, creative","Jax, Diriyah"
Riyadh,Kingdom Arena,Large sports and entertainment arena used for international sports events and concerts.,https://kingdomarena-sa.com/,https://maps.google.com/?q=Kingdom+Arena+Riyadh,activity,"football, stadium, sports, matches","Hittin, Riyadh"
Riyadh,Boulevard World,"Global themed entertainment area with international pavilions, restaurants, rides, and cultural attractions.",https://webook.com/en,https://maps.google.com/?q=Boulevard+World+Riyadh,tourist place,"entertainment, world cultures, attractions, family, events","Prince Turki al-Awwal Rd, Hittin, Riyadh"
Riyadh,Al Faisaliah Tower,"Al Faisaliah Tower is one of the most iconic landmarks in Riyadh. The tower features a unique pyramid design with a glass sphere at the top that contains a restaurant and observation area offering panoramic views of the city. It is part of the Al Faisaliah Center complex which includes a luxury mall, hotel, and office spaces, making it a popular destination for visitors and locals.",No SM/REFERENCE LINKS,https://maps.google.com/?q=Al+Faisaliah+Tower+Riyadh,landmark,"tower, landmark, skyline, city view, architecture","Olaya Rd, Al Olaya, Riyadh"
Riyadh,U Walk,"U Walk is a vibrant outdoor destination in Riyadh featuring a variety of restaurants, cafes, shops, and entertainment spots. It is popular among young visitors and families who want to enjoy dining and social activities in an open-air environment.",https://www.instagram.com/uwalkriyadh,https://maps.google.com/?q=U+Walk+Riyadh,tourist place,"outdoor, restaurants, cafes, walking","Prince Turki al-Awwal Rd, King Saud University, Riyadh"
Riyadh,Riyadh Park Mall,"Riyadh Park Mall is one of the largest and most popular shopping destinations in Riyadh. It offers a wide variety of international brands, restaurants, cafes, and entertainment options including cinemas.",https://www.instagram.com/riyadhpark_ksa,https://maps.google.com/?q=Riyadh+Park+Mall,mall,"shopping, mall, restaurants, cafes","Northern Ring Branch Rd, Al Aqiq, Riyadh"
Riyadh,Panorama Mall,"Panorama Mall is a well-known shopping mall in Riyadh that offers a variety of international and local brands, restaurants, cafes, and entertainment options.",https://www.instagram.com/panorama_mall,https://maps.google.com/?q=Panorama+Mall+Riyadh,mall,"shopping, mall, restaurants, cafes","Al Takhassousi St, Al Mathar Ash Shamali, Riyadh"
Riyadh,Solitaire Mall,"Solitaire Mall is a new luxury shopping destination in Riyadh that features high-end international brands, fine dining restaurants, and modern architectural design. It is considered one of the newest upscale malls in the city.",https://solitaireksa.com,https://maps.google.com/?q=Solitaire+Mall+Riyadh,mall,"luxury, shopping, mall,restaurants, cafes","Al Imam Saud Ibn Faysal Rd, As Sahafah, Riyadh"
Riyadh,Sports Boulevard,"Sports Boulevard is a major urban development project in Riyadh designed to promote healthy lifestyles. The project includes cycling paths, running tracks, parks, and recreational spaces that connect different parts of the city.",https://sportsboulevard.sa,https://maps.google.com/?q=Sports+Boulevard+Riyadh,activity,"sports, cycling, running, fitness, outdoor","Prince Mohammed bin Salman Rd, Riyadh"
Riyadh,Wadi Hanifa,"Wadi Hanifa is a natural valley that runs through the western part of Riyadh. It is a popular destination for walking, cycling, and enjoying nature. The area features landscaped parks, walking paths, and picnic spots, making it a favorite place for outdoor activities and relaxation.",No SM/REFERENCE LINKS,https://maps.google.com/?q=Wadi+Hanifa+Riyadh,park,"nature, valley, walking, cycling, outdoor",Riyadh
Riyadh,Diriyah,"Historical Diriyah is one of the most important heritage sites in Saudi Arabia and the birthplace of the Saudi state. The area includes traditional Najdi architecture, historical buildings, and cultural attractions that reflect the history and heritage of the region.",https://www.diriyah.sa,https://maps.google.com/?q=Diriyah+Riyadh,landmark,"heritage, history, culture",Diriyah
Riyadh,Al Thumama Desert Park,"Al Thumama Desert Park is a large desert recreation area northeast of Riyadh known for its sand dunes, camping spots, and outdoor activities. It is a popular destination for desert adventures, picnics, and enjoying the natural landscape of Saudi Arabia.",https://www.tripadvisor.com/Attraction_Review-g293995-d319523-Reviews-Al_Thumama_Desert-Riyadh_Riyadh_Province.html,"https://www.google.com/maps/place/Thumama/@25.0368955,46.5572297,11z/data=!4m10!1m2!2m1!1sAl+Thumama+Desert+Park!3m6!1s0x3e2ef9e978fc6f91:0xedb301c40199ccdc!8m2!3d24.9182429!4d46.8165715!15sChZBbCBUaHVtYW1hIERlc2VydCBQYXJrWhgiFmFsIHRodW1hbWEgZGVzZXJ0IHBhcmuSAQ9ob3VzaW5nX3NvY2lldHmaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUklaM1pMV0RKM1JSQULgAQD6AQQIABBG!16s%2Fg%2F11v6jjtcp5?hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D","Nature , Desert Park","desert, adventure, camping, nature, outdoor activities",Northeast Riyadh
Riyadh,Edge of the World,A breathtaking cliff located northwest of Riyadh offering panoramic views of the desert landscape. It is one of the most popular hiking and sunset destinations near the city.,https://www.visitsaudi.com/en,"https://www.google.com/maps/place/%D9%86%D9%87%D8%A7%D9%8A%D8%A9+%D8%A7%D9%84%D8%B9%D8%A7%D9%84%D9%85%E2%80%AD/@24.7210234,47.788964,8z/data=!4m10!1m2!2m1!1sEdge+of+the+World+Riyadh!3m6!1s0x3e2945bea8241925:0xfdd492646fb62835!8m2!3d24.9486063!4d45.9884121!15sChhFZGdlIG9mIHRoZSBXb3JsZCBSaXlhZGhaGiIYZWRnZSBvZiB0aGUgd29ybGQgcml5YWRokgESdG91cmlzdF9hdHRyYWN0aW9umgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU14TTA5cFJ6UjNSUkFC4AEA-gEECAAQQQ!16s%2Fg%2F11trhkvpnt?entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D","Nature, Adventure","hiking, sunset, desert, adventure, viewpoint",Northwest Riyadh
Riyadh,Heet Cave,"Heet Cave is a natural underground cave famous for its clear blue water and unique geological formations, making it a popular adventure destination near Riyadh.",https://www.visitsaudi.com/en,https://maps.google.com/?q=Heet+Cave+Riyadh,Adventure,"cave, nature, adventure, exploration",Southeast Riyadh
Riyadh,Salam Park,"Salam Park is a large public park in central Riyadh featuring green spaces, a lake, walking paths, and family-friendly activities.",https://www.visitsaudi.com/en,https://maps.google.com/?q=Salam+Park+Riyadh,Park,"park, family, nature, walking, picnic",Central Riyadh
Riyadh,Centria Mall,"Centria Mall is a luxury shopping destination in Riyadh known for its elegant design and high-end international brands. The mall offers a premium shopping experience along with upscale restaurants and cafés, making it a popular destination for shopping, dining, and leisure in the city.",https://www.centria.com.sa/,"https://www.google.com/maps/place/Centria+Mall/@24.6977216,46.6836943,17z/data=!3m1!4b1!4m6!3m5!1s0x3e2f033b09916bab:0xb427a7f4311bc78d!8m2!3d24.6977216!4d46.6836943!16s%2Fg%2F1tf9lq_b?hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",Mall ,"shopping, luxury brands, fashion, dining, cafes","Olaya St, Al Olaya, Riyadh "
Riyadh,King Salman Science Oasis,An interactive science center designed to promote science education through exhibitions and hands-on experiences.,https://ks-scienceoasis.org.sa/,https://maps.google.com/?q=King+Salman+Science+Oasis,Education,"science, education, museum, learning","King Abdullah Rd, Al Raed, Riyadh "
Riyadh,Snow City Riyadh,An indoor snow park located in Al Othaim Mall where visitors can experience snow activities and winter games.,https://www.ootlah.com/en/sa-things-to-do-riyadh-province-riyadh-snow-city.html,https://maps.google.com/?q=Snow+City+Riyadh,Entertainment,"snow, indoor park, winter activities, family","Al Othaim Mall، Eastern Ring Branch Rd, Ar Rabwah, Riyadh "
Riyadh,King Abdulaziz Equestrian Square,"King Abdulaziz Equestrian Square is a prominent venue in Riyadh dedicated to equestrian sports and horse racing events. It hosts major horse racing competitions and cultural events, attracting visitors interested in Saudi Arabia’s long-standing tradition of horsemanship and equestrian culture.",https://www.jcsa.sa/ar/venues/our-racecourses-riyadh/,"https://www.google.com/maps/place/King+Abdulaziz+Equestrian+Field/@24.9859726,46.784705,17z/data=!3m1!4b1!4m6!3m5!1s0x3e2ef65eb4e3b4bb:0x63c3b2a9d2d9fd4c!8m2!3d24.9859726!4d46.784705!16s%2Fg%2F11bxb8wdvc?hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D","Sports ,Cultural","horse racing, equestrian, sports, cultural events, heritage","Ar Rimal, Riyadh"
Riyadh,Al Maigliah Market,"Al Maigliah Market is a traditional market in Riyadh where visitors can explore local products, traditional clothing, and cultural goods.",https://www.mosoah.com/shopping/al-muaiqlya-market-in-riyadh/,Al Maigliah Market Center - Google Maps,Market,"market, traditional, shopping, culture","Al Imam Turki Ibn Abd Allah Ibn Muhammad, Ad Dirah, Riyadh "
Riyadh ,Chuck E. Cheese,"A family entertainment center offering arcade games, rides, and dining options designed for children and families.",https://www.instagram.com/chuckecheese,https://maps.app.goo.gl/BE85JqvCVWGw785PA,entertainment,"kids, arcade, games, indoor, entertainment, family, friends","Al Imam Saud Ibn Abdul Aziz Branch Rd, Ghirnatah, Riyadh"
Riyadh,Six Flags Qiddiya,"Six Flags Qiddiya is a world-class theme park near Riyadh and one of the largest entertainment destinations in Saudi Arabia. The park features thrilling roller coasters, record-breaking rides, family attractions, live entertainment, and themed zones designed for visitors of all ages. It is part of the Qiddiya entertainment city project and is expected to attract tourists from around the world seeking adventure and unforgettable experiences.",https://qiddiya.com/,"https://www.google.com/maps/place/Six+Flags+Qiddiya+City/@24.586783,45.7213691,10z/data=!4m10!1m2!2m1!1sSix+Flags+Qiddiya!3m6!1s0x3e2f29001bb52927:0xfd6eb9cf794d016e!8m2!3d24.586783!4d46.3311103!15sChFTaXggRmxhZ3MgUWlkZGl5YSIDiAEBWhMiEXNpeCBmbGFncyBxaWRkaXlhkgEKdGhlbWVfcGFya5oBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQyeEdUMVZFWXpWVFJWWk1UbXBOZUdGRWFIUlZWVFZJVDBjMU1tVnRZeEFC4AEA-gEECCQQQg!16s%2Fg%2F11mkxgf7md?hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D","Theme Park ,Entertainment","theme park, roller coasters, rides, adventure, entertainment, family activities","Qiddiya ,Riyadh Region"
Riyadh,Al Ghadir Walkway,"Al Ghadir Walkway is a pleasant pedestrian path ideal for walking, jogging, and relaxing in a calm neighborhood environment.",No SM/REFERENCE LINKS,https://maps.google.com/?q=Al+Ghadir+Walkway+Riyadh,walkway,"outdoor, walking, jogging, public space","Al Ghadir, Riyadh"
Riyadh,Go Bowling,"Go Bowling is a modern bowling entertainment venue where visitors can enjoy bowling games, competitions, and fun activities with friends and family.
",https://www.instagram.com/go4fun.ksa,https://maps.google.com/?q=Go+Bowling+Riyadh+Gallery,entertainment,"bowling, games, indoor, entertainment, family, friends","Riyadh Gallery Mall, Riyadh"
Riyadh,Doos Karting,"A modern indoor karting track where visitors can enjoy exciting go-kart racing experiences.
",https://www.instagram.com/dooskarting,https://maps.google.com/?q=Doos+Karting+Hittin+Boulevard+Riyadh,entertainment,"karting, racing, indoor, entertainment, adventure, friends","Hittin, Riyadh"
Riyadh,Escape The Room,Escape The Room is an interactive escape room experience where players solve puzzles and clues to complete missions and escape themed rooms within a limited time.,https://www.instagram.com/escapetheroomsa,https://maps.app.goo.gl/LdW1LUPeSyTR43zL7,entertainment,"escape room, puzzles, indoor, entertainment, friends, games","Prince Muhammad Ibn Saad Ibn Abdulaziz Rd, Al Aqiq, Riyadh "
Riyadh,Sparky's,"Sparky's is an indoor family entertainment center featuring arcade games, rides, and fun attractions suitable for kids, friends, and families.",https://www.instagram.com/sparkysme?igsh=MzRlODBiNWFlZA==,https://maps.app.goo.gl/eGaWEf9QfMszdNwj6,entertainment,"arcade, games, kids, indoor, entertainment, family, friends","Al Imam Saud Ibn Abdul Aziz Branch Rd, Al Mughrizat, Al Nakheel Mall by Arabian Centres Exit 9،, Riyadh "
Riyadh,Hayat Mall,"A large shopping mall featuring international brands, restaurants, cafes, and entertainment options.",https://www.instagram.com/hayatmall,https://maps.google.com/?q=Hayat+Mall+Riyadh,mall,"shopping, mall, restaurants, cafes, indoor","Dist، 7544 King Abdulaziz Rd, King Fahd, Riyadh "
Riyadh,Granada Mall,"Granada Mall is a large shopping destination in Riyadh featuring international retail stores, restaurants, cafes, and entertainment facilities.",https://www.instagram.com/granadamall.sa?igsh=MzRlODBiNWFlZA==,https://maps.google.com/?q=Granada+Mall+Riyadh,mall,"shopping, mall, restaurants, cafes, indoor, entertainment","Eastern Ring Branch Rd, Ghirnatah, Riyadh "
Riyadh,Al Nakheel Mall,"One of the biggest malls in Riyadh offering retail stores, dining options, entertainment areas, and cinema facilities.",https://www.instagram.com/alnakheelmallriyadh?igsh=MzRlODBiNWFlZA==,https://maps.google.com/?q=Al+Nakheel+Mall+Riyadh,mall,"shopping, mall, entertainment, restaurants, cafes","Exit 9, Al Imam Saud Ibn Abdul Aziz Branch Rd, Al Mughrizat, Riyadh "
Riyadh,AMC Cinemas,A modern cinema offering the latest international and Arabic films with advanced viewing technology.,https://www.instagram.com/amc_cinemas_sa?igsh=MzRlODBiNWFlZA==,https://maps.app.goo.gl/mjTwXpnsQC2rNe9p9,cinema,"cinema, movies, indoor, entertainment, friends, family","Al Mathar Ash Shamali, Riyadh"
Riyadh,Riyadh Golf Club,A scenic golf destination where visitors can enjoy playing golf and relaxing in a peaceful outdoor environment.,https://www.instagram.com/riyadhgolfclub,https://maps.google.com/?q=Riyadh+Golf+Club,sport,"golf, outdoor activity, sports, nature, relaxation","King Abdulaziz Rd, Al Aarid, Riyadh "
Riyadh,VOX Cinemas,"VOX Cinemas is a popular movie theater where visitors can enjoy the latest films with modern screens, comfortable seating, and a premium cinema experience.",https://www.instagram.com/voxcinemas,https://maps.app.goo.gl/QNWgJQ2rQb3zaL6B9,cinema,"cinema, movies, indoor, entertainment, friends, family","Al Liwa, Al Yarmuk, Riyadh "
Riyadh,Muvi Cinemas,Muvi Cinemas is a modern cinema in Saudi Arabia offering a high-quality movie experience with the latest films and comfortable theaters.,https://www.instagram.com/muvi_cinemas?igsh=MzRlODBiNWFlZA==,https://maps.app.goo.gl/QtHRr3JHbyixeRQC7,cinema,"cinema, movies, indoor, entertainment, friends, family","Park Avenue Mall, Northern Ring Branch Road, Qurtubah, Riyadh "
Riyadh,Firstaiment,"Firstaiment is a military-themed experience in Riyadh, offering intense combat-style activities and adrenaline-filled missions. Perfect for those who love action, strategy, and real battlefield vibes.",https://firstaiment.com/en/,https://maps.app.goo.gl/ttvVzfRRYGj4d6gBA,Action Activity,"military experience, tactical game, combat simulation, action adventure, Riyadh activities,",", Ar Rimal, Riyadh "
Riyadh,Alsaqeefa,"cozy gaming café in Riyadh where friends gather to enjoy board games, card games, and fun social experiences.,  spend quality time in a friendly and lively atmosphere",https://www.instagram.com/alsaqeefa/reels/,https://maps.app.goo.gl/jnhLv6pYLtMpQbpi9,"Games, Café","board games, gaming cafe, social games, friends hangout, indoor activities, casual gaming","Abi Bakr As Siddiq Rd, An Narjis, Riyadh "
Riyadh,COOL ARENA,"an indoor ice skating rink in Riyadh, offering a cool and refreshing experience in the middle of the desert. Perfect for beginners and pros, it’s a fun and unique spot for skating, training sessions, and group activities.",https://www.instagram.com/coolarena.sa/?hl=en,https://maps.app.goo.gl/x9paSPJnSHdEnnSo8,Sports Activity,"ice skating, skating rink, winter experience, sports activity, indoor fun, Riyadh season, boulevard city, group activity,","Hittin, Riyadh"
